label,dice,jaccard,precision,recall,fpr,fnr,vs,hd,msd,mdsd,stdsd,hd95,filename
1,0.7143569646469964,0.5556417644738011,0.7472714484889961,0.6842196138147711,0.0013624466116559295,0.3157802992891641,0.08809253799047403,7.788286209106445,0.9673580159772431,0.6060562133789062,1.215730424919829,3.2751049995422363,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\AMC006.nii.gz
1,0.4671639680100301,0.3047709985023936,0.8286332258930096,0.3252724518671277,0.0004042293646516109,0.6747274629830158,0.8724471077412254,16.827978134155273,3.1175392092585135,1.2121200561523438,4.28598579787548,12.892184019088743,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\AMC012.nii.gz
1,0.7475505899922196,0.59687088677504,0.8948396310750947,0.6418956364346862,0.000551281472971181,0.3581042934587568,0.32919660352710645,7.404361724853516,0.9402698328637084,0.42854374647140503,1.3952535290043946,4.242420196533203,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC007.nii.gz
1,0.4125478308355048,0.25988047945572823,0.748186373432876,0.2847901321560325,0.0006219911494898182,0.7152097889547342,0.89720587395006,8.745771408081055,2.3039619049746882,1.766956090927124,2.2439871651435954,6.728481674194336,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC022.nii.gz
1,0.8137003754224775,0.6859147205009536,0.7473285973352434,0.8930103585018868,0.0014016387362248556,0.10698953142657881,-0.1776239907727797,2.7103829383850098,0.4430859919307129,0.3030281066894531,0.5382263416608782,1.6318663954734802,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC027.nii.gz
1,0.571344858432688,0.3999179660711484,0.9583588062450796,0.40699006744965743,0.00017412207026820857,0.5930098803855044,0.80765991724946,9.100802421569824,1.8156925018744867,1.515142798423767,1.796394981447462,4.764806270599365,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC036.nii.gz
1,0.3810466045144301,0.23536601212670702,0.7374942006547542,0.2568871943421086,0.0005964146517340746,0.7431127271711225,0.9666453227778101,12.121200561523438,3.2855327215684866,2.0898118019104004,3.1391227748758417,10.0,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC038.nii.gz
1,0.7087484873908745,0.5488849232468777,0.8417265309429119,0.6120545404052661,0.0008332336156338155,0.3879453837797283,0.3159650586014661,5.711458206176758,0.9482696892173851,0.6060600280761719,1.0347543587912191,2.851703643798828,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC052.nii.gz
1,0.7681267546499337,0.6235436621010891,0.9188960481466139,0.6598592648166353,0.00039429369944563654,0.34014065954612666,0.3281532027294739,4.076853275299072,0.7361528459958606,0.3030242919921875,1.0862474403107563,3.2999287366866716,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC059.nii.gz
1,0.794138116249957,0.6585647385920441,0.8539695551599047,0.7421415492185275,0.0007467079230494018,0.25785832035237766,0.14012561060711792,4.011462211608887,0.39764586627729415,0.0,0.8069609419003008,2.0,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC069.nii.gz
1,0.6053944804475676,0.4340972927181986,0.9487062351524916,0.44453055789888934,0.00017470228876664167,0.5554693716190181,0.7237473603378768,5.815023422241211,1.1272073271100784,0.857103705406189,1.1432081101044553,3.333332061767578,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC071.nii.gz
1,0.7194541699682566,0.5618339875820159,0.8825766063179551,0.6072238172025984,0.00047374985778615063,0.3927760955526003,0.36965060988215837,7.50266695022583,0.8500802037209341,0.30303192138671875,1.1677133140887637,3.4550764560699463,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC079.nii.gz
1,0.5630826891162993,0.3918685402780796,0.9484222808785072,0.40040141108196514,0.00019685829546183437,0.5995985280944877,0.8125908818749465,6.0,1.0639510957328198,0.6775931715965271,1.1627458201766672,2.9311063289642334,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC080.nii.gz
1,0.08904320300592569,0.04659613610626374,0.7105902578937711,0.047497526547783456,0.00012027030617223614,0.9525023911341463,1.7493827160493827,16.96546745300293,6.280624002922405,5.9012322425842285,4.663704721952511,14.73375186920165,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC093.nii.gz
1,0.6219841606705407,0.451362127283818,0.8474070774430323,0.49129287898037793,0.0005512035888363086,0.5087070388773584,0.5320299500831946,17.065309524536133,2.538793579185892,0.9090919494628906,3.688954530840501,11.789393806457518,C:\Users\E.Lavrova\Documents\GitHub\plaqueuqalp\res\nifti_compare\t1wce_plaqunet_0\MUMC094.nii.gz
